group,evaluation,model,source,primary_metric,primary_metric_value,RMSE_pct_points,R2,notes
repo_classification_models_actual_code,repo_test_split_elevated_layoff,Repo next_year.py: SVM,next_year.py,Test_ROC_AUC,0.9583333333333331,,,Classification model at threshold 3.0% layoffs; also inspect F1 due class imbalance.
repo_classification_models_actual_code,repo_test_split_elevated_layoff,Repo next_year.py: Gradient Boosting,next_year.py,Test_ROC_AUC,0.9791666666666669,,,Classification model at threshold 3.0% layoffs; also inspect F1 due class imbalance.
repo_classification_models_actual_code,repo_test_split_elevated_layoff,Repo next_year.py: XGBoost Classifier,next_year.py,Test_ROC_AUC,1.0,,,Classification model at threshold 3.0% layoffs; also inspect F1 due class imbalance.
repo_regression_models_actual_code,repo_test_split,Repo Model 3: XGBoost reg_lambda=100,xgb.py,MAE_pct_points,0.3470174081468304,0.6068403269774423,0.0414931022205927,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Model 5b: MLP bug-faithful alpha=100,mlp.py,MAE_pct_points,0.3730399346343476,0.6366482740672086,-0.0549831113712298,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Model 1: Ridge Linear Regression alpha=10,models_baseline.py,MAE_pct_points,0.4126307340568019,0.7573253592921423,-0.4928335069086484,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Model 2: Poisson Regression alpha=0.1,poisson.py,MAE_pct_points,0.5179071564604448,0.7475617884018219,-0.454589887085008,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Baseline 3: Global Mean,models_baseline.py,MAE_pct_points,0.5432207488303997,0.7023885896235661,-0.2841071696000865,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Model 4: LightGBM reg_lambda=10,lgbm.py,MAE_pct_points,0.6875387646014802,0.8747695817345577,-0.991744933528357,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Baseline 2: Historical Average,models_baseline.py,MAE_pct_points,2.666802210773731,7.800138143760432,-0.0731425855652589,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Baseline 1: Last Year's Value,models_baseline.py,MAE_pct_points,3.615504854229304,10.732823128871102,-1.0317992033390515,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
repo_regression_models_actual_code,repo_test_split,Repo Model 5: MLP corrected alpha=0.1,mlp.py,MAE_pct_points,3.924250724415404,8.229944052294227,-175.29505914919875,Actual project repo model logic evaluated on repo X/y split; target converted from log1p to percentage points.
